date,D_days,tau,n_strikes,alpha,rho,nu,vol_rmse
2023-02-09,28,0.0767123287671232,54,0.1756637540966363,-0.406794565551726,1.9431030471475106,0.0110032525087883
2023-02-09,29,0.0794520547945205,135,0.17785908308199985,-0.46544499683850443,1.9774164879548375,0.010367071322546809
2023-02-09,32,0.0876712328767123,94,0.174547943019103,-0.47903595896848616,1.8757413770298832,0.008682578395536883
2023-02-09,36,0.0986301369863013,577,0.1658594762661207,-0.3304246918745811,2.3262984955523525,0.025976439728371305
2023-02-09,43,0.1178082191780822,90,0.19167948678837993,-0.6039004624263737,1.5885680685431995,0.009104057786001474
2023-02-09,50,0.136986301369863,340,0.18514041649234814,-0.5269062301416904,1.644907227666119,0.015113103986389672
2023-02-09,64,0.1753424657534246,74,0.1885715054084591,-0.6595303858345457,1.4926566585255574,0.005099537590678482
2023-02-09,71,0.1945205479452054,558,0.18201541004151683,-0.5922684229409314,1.6939392916567864,0.010602125888780825
2023-02-09,78,0.2136986301369863,284,0.18549218686220925,-0.6863091524093984,1.5661205548510813,0.0049692652172392505
2023-02-09,99,0.2712328767123287,508,0.18413274280945877,-0.6264570590887316,1.435550444544526,0.009977437848814455
2023-02-09,111,0.3041095890410959,166,0.16889427980469693,-0.6116526841664597,1.927867360003606,0.01795716440403088
2023-02-09,127,0.347945205479452,482,0.1850025156580863,-0.6866375151249253,1.3748568073733747,0.011002552924737462
2023-02-09,141,0.3863013698630137,322,0.1683560420552722,-0.5801674912740348,1.799037902389281,0.020600531916850753
2023-02-09,162,0.4438356164383562,202,0.1879735725183963,-0.726774569582263,1.222022101052513,0.00482425188198263
2023-02-09,172,0.4712328767123288,127,0.17612971490738294,-0.6365500567376863,1.6170556374640082,0.015839707803107485
2023-02-09,190,0.5205479452054794,122,0.1859901546754915,-0.7295515929837882,1.1710420211057981,0.00800589443296297
2023-02-10,3,0.0082191780821917,152,0.28072487817272557,-0.8934315185878792,5.0,0.26118600303776823
2023-02-10,4,0.010958904109589,132,0.2971261466581195,-0.8118295838860966,5.0,0.23909809101392965
2023-02-10,5,0.0136986301369863,101,0.20332520423717435,-0.1975257755361017,4.545789369827415,0.023946589706525117
2023-02-10,6,0.0164383561643835,147,0.2788918549424982,-0.8021052773785188,5.0,0.17575148024383816
2023-02-10,7,0.0191780821917808,574,0.24372762369724982,-0.1960067233135658,5.0,0.10213277679455672
2023-02-10,11,0.0301369863013698,108,0.17379759489074004,-0.21938864674376948,3.4276712070917466,0.018835696457496814
2023-02-10,12,0.0328767123287671,108,0.18190164515371454,-0.3374785460091439,2.735037026046252,0.011486707664733024
2023-02-10,13,0.0356164383561643,122,0.18738763459950986,-0.5914688193463283,5.0,0.07486833034792385
